货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
美元,686.07,680.49,688.98,688.98,686.32,2018-12-31 23:52:37
美元,686.07,680.49,688.98,688.98,686.32,2018-12-31 23:52:37
美元,686.07,680.49,688.98,688.98,686.32,2018-12-31 23:52:37
美元,686.07,680.49,688.98,688.98,686.32,2018-12-31 20:47:30
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 20:32:57
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 20:32:55
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 19:50:30
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 19:15:33
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 15:55:38
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 15:34:03
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 15:33:59
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 15:05:48
美元,686.21,680.63,689.12,689.12,686.32,2018-12-31 15:05:42
美元,686.31,680.72,689.22,689.22,686.32,2018-12-31 15:05:33
美元,686.41,680.82,689.32,689.32,686.32,2018-12-31 15:05:23
美元,686.43,680.84,689.34,689.34,686.32,2018-12-31 15:05:07
美元,686.46,680.87,689.37,689.37,686.32,2018-12-31 15:05:02
美元,686.48,680.89,689.39,689.39,686.32,2018-12-31 15:04:55
美元,686.51,680.92,689.42,689.42,686.32,2018-12-31 15:04:50
美元,686.53,680.94,689.44,689.44,686.32,2018-12-31 15:04:40
美元,686.56,680.97,689.47,689.47,686.32,2018-12-31 15:04:33
美元,686.59,681,689.5,689.5,686.32,2018-12-31 15:04:29
美元,686.61,681.02,689.52,689.52,686.32,2018-12-31 15:04:21
美元,686.41,680.82,689.32,689.32,686.32,2018-12-31 15:04:08
美元,686.51,680.92,689.42,689.42,686.32,2018-12-31 15:04:15
美元,686.31,680.72,689.22,689.22,686.32,2018-12-31 15:04:03
美元,686.21,680.63,689.12,689.12,686.32,2018-12-31 15:03:57
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 15:03:09
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 15:02:31
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 13:48:30
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 09:27:02
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 09:26:47
美元,686.11,680.53,689.02,689.02,686.32,2018-12-31 09:26:20
美元,686.31,680.72,689.22,689.22,686.32,2018-12-31 09:25:49
美元,686.41,680.82,689.32,689.32,686.32,2018-12-31 09:25:28
美元,686.51,680.92,689.42,689.42,686.32,2018-12-31 09:25:09
美元,686.61,681.02,689.52,689.52,686.32,2018-12-31 09:24:58
美元,686.41,680.82,689.32,689.32,686.32,2018-12-31 09:24:49
美元,686.21,680.63,689.12,689.12,686.32,2018-12-31 09:24:40
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 08:45:38
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 07:56:28
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 07:56:24
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 05:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 05:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 05:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-31 00:00:05
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 10:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 05:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 05:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 05:30:00
美元,686.06,680.48,688.97,688.97,686.32,2018-12-30 00:00:05
美元,686.06,680.48,688.97,688.97,686.32,2018-12-29 17:41:40
